Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,Month,Year,Week,Store_Type_Code,Lag_1_Week_Sales,Lag_2_Week_Sales,Rolling_3_Week_Avg,Rolling_5_Week_Avg
1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,11,2011,45,0,0,0,0,0
1,2011-02-12,48.91,3.172,5629.51,68.0,1398.11,2084.64,20475.32,218.7147333,7.866,False,2,2011,6,0,0,0,0,0
1,2011-09-12,43.93,3.158,4640.65,19.0,105.02,3639.42,14461.82,218.9618456,7.866,False,9,2011,37,0,0,0,0,0
1,2012-06-01,49.01,3.157,6277.39,21813.16,143.1,1450.13,8483.0,219.7142581,7.348,False,6,2012,22,0,0,0,0,0
1,2012-03-02,56.55,3.36,34577.06,3579.21,160.53,32403.87,5630.4,220.1720153,7.348,False,3,2012,9,0,0,0,0,0
1,2012-10-02,48.02,3.409,13925.06,6927.23,101.64,8471.88,6886.04,220.2651783,7.348,True,10,2012,40,0,0,0,0,0
1,2012-02-03,60.96,3.63,15441.4,1569.0,10.8,25390.88,8067.61,220.8480454,7.348,False,2,2012,5,0,0,0,0,0
1,2012-09-03,58.76,3.669,10331.04,151.88,6.0,671.43,5509.84,221.0591887,7.348,False,9,2012,36,0,0,0,0,0
1,2012-01-06,77.95,3.501,6086.21,12.0,370.51,148.75,3690.85,221.7472139,7.143,False,1,2012,1,0,0,0,0,0
1,2012-08-06,78.3,3.452,8813.81,116.8,64.55,2652.04,7161.91,221.7494839,7.143,False,8,2012,32,0,0,0,0,0
1,2012-06-07,81.57,3.227,12218.76,94.4,192.83,4066.01,6149.04,221.8837789,6.908,False,6,2012,23,0,0,0,0,0
1,2012-03-08,86.11,3.417,27584.78,119.98,30.23,12007.04,4661.71,221.9498642,6.908,False,3,2012,10,0,0,0,0,0
1,2012-10-08,85.05,3.494,11436.22,245.0,6.85,6964.26,4836.22,221.9584329,6.908,False,10,2012,41,0,0,0,0,0
1,2012-07-09,83.96,3.73,5204.68,35.74,50.94,4120.32,2737.17,222.4390153,6.908,True,7,2012,28,0,0,0,0,0
1,2012-02-11,55.32,3.386,6766.44,5147.7,50.82,3639.9,2737.42,223.4627793,6.573,False,2,2012,6,0,0,0,0,0
1,2012-09-11,61.24,3.314,11421.32,3370.89,40.28,4646.79,6154.16,223.4813073,6.573,False,9,2012,37,0,0,0,0,0
1,2013-04-01,41.73,3.161,1214.08,25366.33,15.01,72.36,3940.02,224.080983,6.525,False,4,2013,14,0,0,0,0,0
1,2013-11-01,50.32,3.243,6520.24,16134.6,12.17,774.55,4001.25,224.2015518,6.525,False,11,2013,44,0,0,0,0,0
1,2013-01-02,56.46,3.244,9290.91,1359.9,265.0,20657.82,972.61,224.2352903,6.525,False,1,2013,1,0,0,0,0,0
1,2013-08-02,56.67,3.417,32355.16,729.8,280.89,20426.61,4671.78,224.2350289,6.525,True,8,2013,31,0,0,0,0,0
1,2013-01-03,48.01,3.711,10610.74,261.46,2.8,25.54,2747.59,224.5645263,6.525,False,1,2013,1,0,0,0,0,0
1,2013-08-03,50.81,3.658,5000.58,290.46,78.77,606.15,3697.11,224.7087632,6.525,False,8,2013,31,0,0,0,0,0
1,2013-05-04,58.59,3.583,12872.34,5687.86,485.97,478.04,5092.33,225.0865399,6.314,False,5,2013,18,0,0,0,0,0
1,2013-12-04,62.72,3.529,3672.43,932.58,52.86,949.07,2836.64,225.1701596,6.314,False,12,2013,49,0,0,0,0,0
2,2011-11-11,59.33,3.297,10797.64,20445.0,443.32,4754.07,4787.16,217.6455387,7.441,False,11,2011,45,0,0,0,0,0
2,2011-02-12,48.74,3.172,8010.99,83.47,1897.27,4444.0,28238.93,218.3590319,7.441,False,2,2011,6,0,0,0,0,0
2,2011-09-12,41.76,3.158,11472.59,40.0,306.43,4160.55,8899.08,218.605037,7.441,False,9,2011,37,0,0,0,0,0
2,2012-06-01,46.75,3.157,5886.72,37454.29,121.16,2388.92,7103.97,219.355063,7.057,False,6,2012,22,0,0,0,0,0
2,2012-03-02,55.21,3.36,75149.79,3818.85,221.4,48159.86,7423.61,219.8118854,7.057,False,3,2012,9,0,0,0,0,0
2,2012-10-02,46.98,3.409,13510.89,6674.42,94.07,14114.9,9577.83,219.9049073,7.057,True,10,2012,40,0,0,0,0,0
2,2012-02-03,58.79,3.63,23901.27,2144.7,9.0,9799.63,4929.53,220.4866886,7.057,False,2,2012,5,0,0,0,0,0
2,2012-09-03,57.11,3.669,11784.91,368.32,3.0,2498.17,7746.0,220.6974332,7.057,False,9,2012,36,0,0,0,0,0
2,2012-06-04,68.43,3.891,12132.59,1.3,32.58,4874.69,5535.13,221.0737638,6.891,False,6,2012,23,0,0,0,0,0
2,2012-01-06,78.38,3.501,13091.33,21.0,245.37,2993.15,5521.72,221.3852748,6.891,False,1,2012,1,0,0,0,0,0
2,2012-08-06,78.69,3.452,12162.04,463.6,78.39,3610.78,10877.64,221.3877467,6.891,False,8,2012,32,0,0,0,0,0
2,2012-06-07,84.2,3.227,12355.5,295.05,100.15,6720.4,5506.53,221.5215064,6.565,False,6,2012,23,0,0,0,0,0
